lambda	n2-gold(J&C)	k2-gold(J&C)	n1-Si	k1-Si
300	1.53	1.89	1.4875	0
301	1.53	1.89	1.487272727	0
302	1.529	1.889	1.487045455	0
303	1.529	1.889	1.486818182	0
304	1.529	1.889	1.486590909	0
305	1.529	1.889	1.486363636	0
306	1.529	1.889	1.486136364	0
307	1.529	1.889	1.485909091	0
308	1.529	1.889	1.485681818	0
309	1.53	1.89	1.485454545	0
310	1.53	1.89	1.485227273	0
311	1.532	1.891	1.485	0
312	1.534	1.892	1.484733333	0
313	1.536	1.894	1.484466667	0
314	1.537	1.895	1.4842	0
315	1.538	1.896	1.483933333	0
316	1.539	1.897	1.483666667	0
317	1.54	1.898	1.4834	0
318	1.54	1.898	1.483133333	0
319	1.54	1.899	1.482866667	0
320	1.54	1.9	1.4826	0
321	1.535	1.9	1.482408333	0
322	1.531	1.899	1.482216667	0
323	1.526	1.899	1.482025	0
324	1.521	1.898	1.481833333	0
325	1.516	1.897	1.481641667	0
326	1.511	1.896	1.48145	0
327	1.506	1.895	1.481258333	0
328	1.501	1.893	1.481066667	0
329	1.495	1.892	1.480875	0
330	1.49	1.89	1.480683333	0
331	1.488	1.888	1.480491667	0
332	1.486	1.886	1.4803	0
333	1.484	1.883	1.480109091	0
334	1.482	1.881	1.479918182	0
335	1.481	1.879	1.479727273	0
336	1.48	1.877	1.479536364	0
337	1.48	1.875	1.479345455	0
338	1.48	1.874	1.479154545	0
339	1.48	1.872	1.478963636	0
340	1.48	1.87	1.478772727	0
341	1.481	1.869	1.478581818	0
342	1.482	1.869	1.478390909	0
343	1.482	1.868	1.4782	0
344	1.483	1.868	1.478018182	0
345	1.484	1.868	1.477836364	0
346	1.485	1.868	1.477654545	0
347	1.486	1.868	1.477472727	0
348	1.488	1.869	1.477290909	0
349	1.489	1.869	1.477109091	0
350	1.49	1.87	1.476927273	0
351	1.49	1.871	1.476745455	0
352	1.491	1.871	1.476563636	0
353	1.491	1.872	1.476381818	0
354	1.491	1.873	1.4762	0
355	1.491	1.874	1.47605	0
356	1.491	1.875	1.4759	0
357	1.491	1.876	1.47575	0
358	1.491	1.877	1.4756	0
359	1.49	1.879	1.47545	0
360	1.49	1.88	1.4753	0
361	1.489	1.882	1.47515	0
362	1.489	1.883	1.475	0
363	1.488	1.885	1.47485	0
364	1.487	1.887	1.4747	0
365	1.486	1.889	1.47455	0
366	1.485	1.891	1.4744	0
367	1.484	1.893	1.47425	0
368	1.483	1.895	1.4741	0
369	1.481	1.898	1.473971429	0
370	1.48	1.9	1.473842857	0
371	1.478	1.903	1.473714286	0
372	1.475	1.906	1.473585714	0
373	1.473	1.91	1.473457143	0
374	1.471	1.913	1.473328571	0
375	1.469	1.916	1.4732	0
376	1.467	1.919	1.473071429	0
377	1.465	1.922	1.472942857	0
378	1.463	1.924	1.472814286	0
379	1.462	1.927	1.472685714	0
380	1.46	1.93	1.472557143	0
381	1.461	1.931	1.472428571	0
382	1.461	1.933	1.4723	0
383	1.462	1.934	1.472173333	0
384	1.463	1.935	1.472046667	0
385	1.464	1.936	1.47192	0
386	1.465	1.937	1.471793333	0
387	1.466	1.938	1.471666667	0
388	1.467	1.939	1.47154	0
389	1.469	1.939	1.471413333	0
390	1.47	1.94	1.471286667	0
391	1.47	1.941	1.47116	0
392	1.471	1.942	1.471033333	0
393	1.471	1.943	1.470906667	0
394	1.471	1.944	1.47078	0
395	1.471	1.945	1.470653333	0
396	1.471	1.946	1.470526667	0
397	1.471	1.947	1.4704	0
398	1.471	1.948	1.47035	0
399	1.47	1.949	1.4703	0
400	1.47	1.95	1.47025	0
401	1.469	1.951	1.4702	0
402	1.468	1.953	1.47015	0
403	1.467	1.954	1.4701	0
404	1.466	1.955	1.47005	0
405	1.465	1.956	1.47	0
406	1.464	1.957	1.46995	0
407	1.463	1.958	1.4699	0
408	1.462	1.959	1.46985	0
409	1.461	1.959	1.4698	0
410	1.46	1.96	1.46975	0
411	1.46	1.959	1.4697	0
412	1.46	1.958	1.46965	0
413	1.46	1.958	1.4696	0
414	1.46	1.957	1.46955	0
415	1.46	1.956	1.4695	0
416	1.46	1.955	1.46945	0
417	1.46	1.954	1.4694	0
418	1.46	1.952	1.46935	0
419	1.46	1.951	1.4693	0
420	1.46	1.95	1.46925	0
421	1.46	1.95	1.4692	0
422	1.459	1.95	1.46915	0
423	1.459	1.951	1.4691	0
424	1.458	1.951	1.46905	0
425	1.457	1.951	1.469	0
426	1.456	1.951	1.46895	0
427	1.455	1.951	1.4689	0
428	1.453	1.95	1.46885	0
429	1.452	1.95	1.4688	0
430	1.45	1.95	1.46875	0
431	1.448	1.948	1.4687	0
432	1.445	1.946	1.46854	0
433	1.443	1.945	1.46838	0
434	1.44	1.943	1.46822	0
435	1.437	1.941	1.46806	0
436	1.434	1.939	1.4679	0
437	1.431	1.937	1.46774	0
438	1.427	1.934	1.46758	0
439	1.424	1.932	1.46742	0
440	1.42	1.93	1.46726	0
441	1.416	1.929	1.4671	0
442	1.412	1.928	1.46694	0
443	1.408	1.928	1.46678	0
444	1.404	1.927	1.46662	0
445	1.4	1.926	1.46646	0
446	1.396	1.925	1.4663	0
447	1.392	1.924	1.46614	0
448	1.388	1.922	1.46598	0
449	1.384	1.921	1.46582	0
450	1.38	1.92	1.46566	0
451	1.377	1.918	1.4655	0
452	1.374	1.915	1.46543	0
453	1.371	1.913	1.46536	0
454	1.368	1.91	1.46529	0
455	1.365	1.907	1.46522	0
456	1.362	1.904	1.46515	0
457	1.359	1.901	1.46508	0
458	1.356	1.897	1.46501	0
459	1.353	1.894	1.46494	0
460	1.35	1.89	1.46487	0
461	1.347	1.886	1.4648	0
462	1.344	1.881	1.46473	0
463	1.341	1.877	1.46466	0
464	1.338	1.873	1.46459	0
465	1.334	1.869	1.46452	0
466	1.33	1.865	1.46445	0
467	1.325	1.861	1.46438	0
468	1.32	1.857	1.46431	0
469	1.315	1.854	1.46424	0
470	1.31	1.85	1.46417	0
471	1.303	1.848	1.4641	0
472	1.295	1.846	1.46404	0
473	1.287	1.845	1.46398	0
474	1.278	1.844	1.46392	0
475	1.269	1.843	1.46386	0
476	1.26	1.842	1.4638	0
477	1.251	1.841	1.46374	0
478	1.241	1.84	1.46368	0
479	1.231	1.84	1.46362	0
480	1.22	1.84	1.46356	0
481	1.21	1.839	1.4635	0
482	1.2	1.838	1.46344	0
483	1.19	1.838	1.46338	0
484	1.179	1.838	1.46332	0
485	1.168	1.838	1.46326	0
486	1.157	1.838	1.4632	0
487	1.146	1.838	1.46314	0
488	1.134	1.838	1.46308	0
489	1.122	1.839	1.46302	0
490	1.11	1.84	1.46296	0
491	1.097	1.841	1.4629	0
492	1.085	1.842	1.46284	0
493	1.071	1.844	1.46278	0
494	1.058	1.846	1.46272	0
495	1.044	1.849	1.46266	0
496	1.03	1.852	1.4626	0
497	1.016	1.856	1.462544	0
498	1.001	1.86	1.462488	0
499	0.986	1.865	1.462432	0
500	0.971	1.87	1.462376	0
501	0.955	1.878	1.46232	0
502	0.939	1.887	1.462264	0
503	0.922	1.896	1.462208	0
504	0.906	1.906	1.462152	0
505	0.889	1.916	1.462096	0
506	0.872	1.926	1.46204	0
507	0.855	1.936	1.461984	0
508	0.838	1.947	1.461928	0
509	0.821	1.958	1.461872	0
510	0.803	1.97	1.461816	0
511	0.784	1.979	1.46176	0
512	0.766	1.989	1.461704	0
513	0.748	1.998	1.461648	0
514	0.73	2.008	1.461592	0
515	0.713	2.018	1.461536	0
516	0.697	2.028	1.46148	0
517	0.681	2.038	1.461424	0
518	0.665	2.049	1.461368	0
519	0.65	2.059	1.461312	0
520	0.635	2.07	1.461256	0
521	0.625	2.082	1.4612	0
522	0.616	2.094	1.461157143	0
523	0.607	2.107	1.461114286	0
524	0.598	2.12	1.461071429	0
525	0.59	2.132	1.461028571	0
526	0.583	2.146	1.460985714	0
527	0.576	2.159	1.460942857	0
528	0.569	2.172	1.4609	0
529	0.564	2.186	1.460857143	0
530	0.558	2.2	1.460814286	0
531	0.551	2.214	1.460771429	0
532	0.544	2.228	1.460728571	0
533	0.537	2.242	1.460685714	0
534	0.53	2.256	1.460642857	0
535	0.523	2.27	1.4606	0
536	0.516	2.284	1.460557143	0
537	0.509	2.298	1.460514286	0
538	0.502	2.312	1.460471429	0
539	0.496	2.326	1.460428571	0
540	0.489	2.34	1.460385714	0
541	0.482	2.353	1.460342857	0
542	0.475	2.367	1.4603	0
543	0.468	2.38	1.460257143	0
544	0.461	2.393	1.460214286	0
545	0.455	2.406	1.460171429	0
546	0.448	2.419	1.460128571	0
547	0.442	2.432	1.460085714	0
548	0.436	2.445	1.460042857	0
549	0.43	2.457	1.46	0
550	0.424	2.47	1.459960606	0
551	0.419	2.482	1.459921212	0
552	0.415	2.494	1.459881818	0
553	0.41	2.506	1.459842424	0
554	0.406	2.518	1.45980303	0
555	0.402	2.53	1.459763636	0
556	0.397	2.542	1.459724242	0
557	0.393	2.554	1.459684848	0
558	0.389	2.566	1.459645455	0
559	0.386	2.578	1.459606061	0
560	0.382	2.59	1.459566667	0
561	0.378	2.603	1.459527273	0
562	0.374	2.616	1.459487879	0
563	0.37	2.629	1.459448485	0
564	0.366	2.642	1.459409091	0
565	0.362	2.655	1.459369697	0
566	0.357	2.668	1.459330303	0
567	0.353	2.681	1.459290909	0
568	0.349	2.694	1.459251515	0
569	0.345	2.707	1.459212121	0
570	0.341	2.72	1.459172727	0
571	0.337	2.732	1.459133333	0
572	0.332	2.744	1.459093939	0
573	0.328	2.757	1.459054545	0
574	0.323	2.769	1.459015152	0
575	0.319	2.781	1.458975758	0
576	0.315	2.793	1.458936364	0
577	0.311	2.805	1.45889697	0
578	0.307	2.816	1.458857576	0
579	0.303	2.828	1.458818182	0
580	0.299	2.84	1.458778788	0
581	0.296	2.852	1.458739394	0
582	0.293	2.864	1.4587	0
583	0.29	2.877	1.458665714	0
584	0.287	2.889	1.458631429	0
585	0.284	2.901	1.458597143	0
586	0.282	2.913	1.458562857	0
587	0.279	2.925	1.458528571	0
