Lambda	Qext	Qsca	Qabs	Cext	Csca	Cabs	Qnf_1	Qnf_2	Qnf_3
300	1.124949793483058	0.11672188234978635	1.0082279111332715	3180.720606177357	330.02334729293483	2850.697258884422	2.1729354692850325	0.1839944329420071	0.28646818999687346
301	1.1659056971685204	0.12460493825523777	1.0413007589132826	3296.5206957027985	352.3121627612983	2944.2085329415004	2.1729066924015106	0.2077477598508726	0.3094594250873128
302	1.13095164071551	0.11690946535933502	1.014042175356175	3197.6904294334527	330.5537257571976	2867.136703676255	2.1722180173126917	0.18969234916370237	0.29278209627076596
303	1.095540549779414	0.10913081805758426	0.9864097317218297	3097.5679286070567	308.56011866095594	2789.0078099461007	2.172187929442655	0.17413668541939054	0.27567524507996316
304	1.0598578694932554	0.1014250800792855	0.9584327894139699	2996.677526984407	286.7726578201558	2709.904869164251	2.17215586562596	0.16056693382218581	0.258478894732071
305	1.0241908408334475	0.09404164879694114	0.9301491920365064	2895.8313792926806	265.8964976927475	2629.934881599933	2.1721219063795636	0.14812036603147175	0.2417696797076748
306	0.9885320201523092	0.08697565925841992	0.9015563608938894	2795.008439113895	245.917882950643	2549.0905561632517	2.172086128788322	0.1367824633587215	0.2255559106122898
307	0.9538487224181932	0.08004653065447837	0.8738021917637149	2696.943725086505	226.32623338451347	2470.617491701991	2.1720486114590694	0.12981970694909328	0.2095247184554428
308	0.9193182960413703	0.0734802066201696	0.8458380894212006	2599.31124463883	207.7603895719664	2391.5508550668637	2.172009427229547	0.12469281408104019	0.19414411206006565
309	0.8848028753166729	0.06729763941540977	0.8175052359012631	2501.7211916729866	190.27959263224759	2311.441599040739	2.1726069495445293	0.12124383279441767	0.17948037528119232
310	0.8503161424026539	0.061490193831975876	0.788825948570678	2404.2122515808906	173.85942708931304	2230.3528244915774	2.172561946865665	0.11932732100164904	0.16554188666730815
311	0.8054849030300726	0.05441857942907576	0.7510663236009968	2277.4549085430867	153.86490841785934	2123.5900001252276	2.171225796230603	0.12642102039293493	0.14806802852812323
312	0.7721905944032081	0.049646930643112916	0.7225436637600953	2183.317468693429	140.37338932351696	2042.944079369912	2.1699324341051263	0.13960776705052155	0.13665911560058555
313	0.7506900922743455	0.046874117841720284	0.7038159744326252	2122.526231110555	132.53344582954563	1989.9927852810092	2.171170621969082	0.15749015724892032	0.13063980235254433
314	0.7298432646067555	0.04463232699212673	0.6852109376146288	2063.583214524517	126.19493153197448	1937.3882829925428	2.171772977589148	0.1808052031474814	0.12604684720605497
315	0.7136242645985981	0.043984132591913576	0.6696401320066845	2017.7250723777368	124.36220504274758	1893.3628673349892	2.1723670950120355	0.229400978820682	0.1263050050852049
316	0.7042606977094006	0.044661518181446556	0.659599179527954	1991.2502107222874	126.27746767529952	1864.972743046988	2.1729530984205496	0.2814856942518113	0.13034470044565424
317	0.7016408380920823	0.04628051677248317	0.6553603213195992	1983.8427321678041	130.8550783470951	1852.987653820709	2.173531113161316	0.33355531776955605	0.1371317875283298
318	0.7019303366102841	0.04886427591959602	0.6530660606906882	1984.6612699440113	138.16048522678875	1846.5007847172226	2.1734991678227256	0.39694023302650916	0.146995921741013
319	0.7251460257250235	0.056327763495775264	0.6688182622292482	2050.302084477812	159.2629991923238	1891.0390852854882	2.1759826419548927	0.5157761101246399	0.17236712207247548
320	0.7494998661466973	0.0637401821035785	0.6857596840431188	2119.160946017698	180.22111905157004	1938.9398269661278	2.1784623807532975	0.6296527462707975	0.1979253941117421
321	0.7741903162578128	0.07042063515520934	0.7037696811026034	2188.971549032313	199.1096550582595	1989.8618939740534	2.1880101638366387	0.727222762232677	0.2214930553818667
322	0.8000993867996051	0.07771561135643877	0.7223837754431663	2262.227720140204	219.7357143359648	2042.4920058042392	2.19316670954889	0.8369679724781487	0.24752997370452995
323	0.843610328340142	0.08905886808132871	0.7545514602588134	2385.252009005277	251.8080171311923	2133.443991874085	2.2029069440729683	1.00206623664771	0.28747358905397763
324	0.8868385564236543	0.1004378135852903	0.7864007428383639	2507.4769444026565	283.9812275719522	2223.495716830704	2.210194921039827	1.1748570230692068	0.3284209641927649
325	0.9239522869405926	0.10961034041902014	0.8143419465215724	2612.413545228049	309.915936196083	2302.497609031966	2.2175717432788886	1.3202290505682268	0.36279336010264807
326	0.9635668470851844	0.1195077613855589	0.8440590856996255	2724.4210752409454	337.9002346942504	2386.520840546695	2.225038334288509	1.4840084096218933	0.40044590717244166
327	1.0206133231063672	0.1320135023212137	0.8885998207851535	2885.716186224146	373.25938416028566	2512.4568020638603	2.2325956283123998	1.696124651583494	0.44839466829302377
328	1.08832607139073	0.14620903146980663	0.9421170399209233	3077.169471532222	413.39629723862106	2663.7731742936007	2.237619153664226	1.9586717866089067	0.5040553894044248
329	1.1615373951413837	0.16136214326416176	1.0001752518772218	3284.1696127013956	456.2407114615749	2827.928901239821	2.2474464050272913	2.271348905297199	0.5653147410416485
330	1.2406058953677508	0.17724337672158016	1.0633625186461706	3507.730530198762	501.14384118536793	3006.5866890133943	2.2526292311219467	2.6501152551497835	0.6321333353422597
331	1.3288257355338982	0.19244269303352318	1.136383042500375	3757.166251788913	544.1188956040369	3213.047356184876	2.2514851489659335	3.119393632504417	0.7009907939062063
332	1.418274021535017	0.20393462699344095	1.214339394541576	4010.075322148495	576.6115733776519	3433.4637487708433	2.250343245685555	3.707979327306699	0.7620414515560222
333	1.4705903896967212	0.20746934687670696	1.2631210428200141	4157.996368239873	586.6057583936415	3571.390609846231	2.2465317056282905	4.208386974880423	0.7928624951558005
334	1.496805544692701	0.20624898794710564	1.2905565567455954	4232.117972753153	583.1552748104612	3648.962697942691	2.245388583728481	4.615180885703915	0.8028363266437503
335	1.5133404584458883	0.20321574098468434	1.3101247174612038	4278.869339970431	574.5789710741615	3704.2903688962692	2.24211600943119	5.070654053933332	0.804649826599578
336	1.516886007009526	0.1982471694911866	1.3186388375183395	4288.894142358854	560.5306661416341	3728.3634762172196	2.238843237189071	5.513668104030285	0.7959016826538042
337	1.5114947552554616	0.1921239251623321	1.3193708300931295	4273.650737145054	543.2176006819359	3730.4331364631184	2.233446204709812	5.990438237057627	0.7798569125694086
338	1.4985309149012351	0.1852689282552801	1.313261986645955	4236.99634208782	523.8355535507181	3713.1607885371022	2.230728640766662	6.501572464532108	0.7579438131289731
339	1.4781834458905052	0.17774815214109602	1.3004352937494092	4179.465228840891	502.5710600600653	3676.8941687808256	2.225343395854213	7.0483128997142765	0.7306689568690866
340	1.4527664834359104	0.17013595731733797	1.2826305261185724	4107.600460569361	481.048086257654	3626.5523743117064	2.219965275130202	7.581110881641061	0.700860551008103
341	1.4260781231755777	0.1631187837291946	1.2629593394463832	4032.140899692163	461.20749536352605	3570.933404328637	2.215157666192671	8.027490643394303	0.6725033299654446
342	1.3986348867641956	0.15650172112400582	1.2421331656401897	3954.5469767815102	442.4981916216017	3512.0487851599087	2.2130199115340674	8.468639433120273	0.6453007964644057
343	1.370541525413894	0.15025813127698656	1.2202833941369073	3875.114868912034	424.84485722572055	3450.2700116863134	2.210323255845581	8.892259965557088	0.6196916893653177
344	1.3431399249923763	0.14452720312636005	1.1986127218660163	3797.6386689892756	408.64103962708725	3388.9976293621885	2.2081807110234197	9.298175125671687	0.5965719814853134
345	1.3195387064367958	0.13979567329541664	1.1797430331413792	3730.907795642295	395.26295420566777	3335.644841436627	2.206040843922466	9.611056031122866	0.5787413896943923
346	1.2989118530564876	0.1358073353510552	1.1631045177054324	3672.5867417006693	383.98619433823234	3288.600547362437	2.2039037125284464	9.85177344468948	0.5648992148129007
347	1.2794448169105672	0.1322267860832796	1.1472180308272877	3617.5449937317985	373.86242979031823	3243.68256394148	2.2017693696685385	10.057342474848518	0.553355462960928
348	1.2613817235295153	0.12904088359814195	1.1323408399313732	3566.472800411481	364.85450273219254	3201.6182976792884	2.200194791463728	10.232358998979743	0.544103307161739
349	1.2445036155983789	0.12627606073980938	1.1182275548585694	3518.7510745168224	357.0371502699993	3161.713924246823	2.198065346565607	10.357268967926556	0.5373197162813164
350	1.2294095284710627	0.12397380640108543	1.1054357220699773	3476.073548608184	350.52767948449196	3125.545869123692	2.1985589524556293	10.438789269035466	0.5331772107920756
351	1.216037401434809	0.12215222577482139	1.0938851756599877	3438.2647501542165	345.3772816024386	3092.887468551778	2.2011173393034085	10.468129914089428	0.5318098489379931
352	1.203401558542151	0.12059168696722267	1.0828098715749284	3402.5377460710756	340.96496207420404	3061.5727839968717	2.1989837969743915	10.465185389637293	0.532434171467459
353	1.1929007461124208	0.11955162780541448	1.0733491183070063	3372.8473984037078	338.02426407437224	3034.8231343293355	2.201534631567408	10.414790601058376	0.5360840149507597
354	1.1838260453567193	0.11889075520465918	1.0649352901520601	3347.189286498834	336.15569081762976	3011.033595681204	2.2040833605565857	10.329767805101062	0.5422993571978107
