#Lambda	Qext	Qsca	Qabs	Cext	Csca	Cabs	Qnf_1	Qnf_2	Qnf_3
300	2.1439191590527535	0.41527806793884015	1.7286410911139134	6061.788611973484	1174.1710746902609	4887.617537283223	2.172935469285034	1.9095495047684252	1.05763838832341
301	2.1396704439567715	0.41192827144862615	1.7277421725081454	6049.775653054025	1164.6997482500515	4885.075904803973	2.17290669240151	1.8860105731361778	1.0588163314901828
302	2.1346713955588763	0.4082101076952508	1.7264612878636254	6035.641176704434	1154.1868879108483	4881.454288793586	2.17221801731269	1.8594070571383137	1.059078227345274
303	2.1304189758932717	0.40490924446310556	1.7255097314301662	6023.617743361134	1144.8539169982973	4878.763826362836	2.172187929442655	1.8370655204544661	1.0602437327439598
304	2.126163785849076	0.4016313176491197	1.7245324681999563	6011.586476956908	1135.5857972802567	4876.000679676651	2.172155865625959	1.8152570550550777	1.0614038253442462
305	2.1219060428203846	0.39837631578961624	1.7235297270307683	5999.547992159079	1126.3824963439433	4873.165495815136	2.172121906379562	1.793965961379633	1.0625583885935797
306	2.117645964106303	0.39514422326655263	1.7225017408397503	5987.502903366391	1117.2439700303821	4870.258933336009	2.1720861287883197	1.7731770771147046	1.0637073108751962
307	2.1133837669182722	0.391935020244824	1.7214487466734483	5975.451824729731	1108.1701622571354	4867.281662472596	2.172048611459071	1.7528757566532172	1.064850485212927
308	2.109119668033325	0.38874868298617316	1.7203709850471518	5963.395369171712	1099.161005905862	4864.23436326585	2.1720094272295456	1.7330478509742375	1.0659878094535047
309	2.105582702002337	0.3859556384690975	1.7196270635332398	5953.39483332266	1091.2638585834673	4862.130974739192	2.17260694954453	1.7168118675488833	1.0680431567056186
310	2.101312747870219	0.38281201776161794	1.7185007301086013	5941.321822443296	1082.3754804352059	4858.94634200809	2.1725619468656676	1.6978260662354785	1.0691702773457967
311	2.0974577087201682	0.38001330865957683	1.7174444000605913	5930.421956037504	1074.4623168761493	4855.959639161355	2.171225796230603	1.6820835466309836	1.0710057092468426
312	2.0935927475384615	0.37723047147401867	1.7163622760644428	5919.494035748131	1066.594030103692	4852.900005644439	2.1699324341051267	1.6666476523785472	1.0728364789354157
313	2.090741049860149	0.3748664691431389	1.71587458071701	5911.43105051933	1059.909970983507	4851.5210795358225	2.171170621969083	1.6546451790008305	1.0758088248817597
314	2.087164604139686	0.37215742339219465	1.7150071807474911	5901.3188884780975	1052.2503245770424	4849.068563901055	2.171772977589148	1.639963316381432	1.0778482366306246
315	2.083581398170402	0.36946549052207783	1.7141159076483243	5891.187612283637	1044.6390637011982	4846.548548582438	2.1723670950120355	1.625570070813016	1.0798846349605757
316	2.0799915945386376	0.36679066076102357	1.713200933777614	5881.037681637993	1037.0761607269599	4843.961520911033	2.1729530984205496	1.6114582326836542	1.0819178908699536
317	2.0763953572340728	0.36413292169596734	1.7122624355381055	5870.869560211065	1029.5615805572145	4841.30797965385	2.173531113161318	1.5976208058787793	1.083947878988005
318	2.0720968661332333	0.36114662580250323	1.71095024033073	5858.715862953539	1021.1180278408975	4837.597835112641	2.1734991678227247	1.581363320425695	1.0850336142671477
319	2.0688165704281634	0.3585685200907955	1.7102480503373678	5849.441045353754	1013.8286056732265	4835.612439680527	2.1759826419548927	1.5683275993886339	1.0872721681625739
320	2.0655351653647136	0.35600774415227676	1.709527421212437	5840.163091117047	1006.5881822848805	4833.574908832166	2.1784623807532975	1.5555514324404438	1.089509185173316
321	2.0628824216117017	0.3533047278541777	1.709577693757524	5832.662634859359	998.9455837547032	4833.717051104656	2.188010163836641	1.5414355919229503	1.0916909716097625
322	2.058904981177928	0.3502057255621383	1.7086992556157896	5821.416686977208	990.1833612039873	4831.233325773221	2.19316670954889	1.524731178127448	1.0924929878357985
323	2.0563038676635608	0.3475606223348326	1.7087432453287281	5814.062211780109	982.7045080237859	4831.357703756323	2.2029069440729683	1.5114204764827879	1.094707289543165
324	2.052709052430595	0.3445684338735536	1.7081406185570414	5803.8981111659	974.2442944644869	4829.653816701413	2.2101949210398297	1.4958420812247173	1.0957602882710211
325	2.049139437913595	0.34160814760177205	1.707531290311823	5793.805263897421	965.8742822209302	4827.930981676491	2.2175717432788904	1.4807112943353844	1.0968249633333904
326	2.0455949830147704	0.33867950159419175	1.7069154814205787	5783.783553773406	957.5937307167889	4826.189823056618	2.225038334288509	1.466014437003694	1.0979015348952228
327	2.0420756419487542	0.3357822333929762	1.7062934085557782	5773.8328513387805	949.4018978700126	4824.430953468768	2.2325956283123998	1.4517383139057782	1.0989902243852154
328	2.037553107854626	0.33254894288542963	1.7050041649691965	5761.0456874416295	940.2599843351258	4820.785703106504	2.237619153664227	1.4354279445421108	1.098889201038554
329	2.034435761194604	0.32976785116371576	1.7046679100308881	5752.231597412394	932.3966327454195	4819.834964666974	2.2474464050272913	1.4223004021282053	1.1002562773954547
330	2.0299606046684797	0.3266028949785893	1.7033577096898904	5739.578390432871	923.4479299553053	4816.130460477566	2.2526292311219485	1.4069095861560919	1.1001702895687375
331	2.0244336574138497	0.32331177231715613	1.7011218850966936	5723.95131523014	914.1424998576063	4809.808815372533	2.2514851489659353	1.391033840806766	1.0992920674176003
332	2.0189170305599484	0.3200522972130374	1.6988647333469111	5708.353420273009	904.9265511201138	4803.426869152895	2.2503432456855568	1.375569392188712	1.0984020190062982
333	2.0123773670821468	0.3164692186803674	1.6959081484017793	5689.862957408078	894.7956352441896	4795.067322163888	2.2465317056282923	1.3582898347281964	1.0962817567159375
334	2.006881532833662	0.3132750480627711	1.693606484770891	5674.3238521577305	885.764330592292	4788.559521565438	2.2453885837284786	1.3436515026151394	1.0953660704128043
335	2.001033999289544	0.31005867459773523	1.690975324691809	5657.790340576292	876.6702488682298	4781.120091708062	2.2421160094311903	1.3290574068413166	1.0941706245938745
336	1.9951950047462268	0.30687321073699736	1.6883217940092294	5641.280972450819	867.663561991377	4773.617410459442	2.2388432371890734	1.3148180999782837	1.0929620166691165
337	1.9890001727278999	0.30366576769053794	1.685334405037362	5623.76549756772	858.5947304309689	4765.170767136751	2.233446204709813	1.300589265737624	1.0914719953359553
338	1.9838446239672856	0.3008305856775723	1.6830140382897132	5609.188526867307	850.5784421457984	4758.610084721508	2.2307286407666616	1.2887064991937023	1.0911949173329143
339	1.9776634596630873	0.2976822005074368	1.6799812591556504	5591.711696535476	841.6765927967465	4750.03510373873	2.2253433958542157	1.275089659527995	1.0896798875154374
340	1.9714898728919634	0.29456449370524	1.6769253791867234	5574.25629117366	832.861484489501	4741.394806684159	2.219965275130202	1.2617833673319172	1.0881520762437373
341	1.9659853036722692	0.2917588477318781	1.6742264559403912	5558.692488374069	824.9287073888621	4733.763780985208	2.2151576661926695	1.2503547144409761	1.0875734568948328
342	1.961512447864655	0.28930885517001204	1.672203592694643	5546.045786522879	818.001516618525	4728.044269904354	2.2130199115340674	1.241044258074498	1.0882146736980967
343	1.956385941726083	0.2866019300480854	1.6697840116779976	5531.55093190171	810.3478661493488	4721.203065752361	2.21032325584558	1.23037711363917	1.0878836020255513
344	1.9519178617769237	0.2841942868913996	1.6677235748855241	5518.917733472173	803.5404155011898	4715.377317970982	2.20818071102342	1.2214234373600148	1.0885079610540624
345	1.9474512020761707	0.2818064358416345	1.6656447662345362	5506.288550700398	796.7889257169621	4709.499624983437	2.2060408439224672	1.2126291778387592	1.0891244839149532
346	1.94298614388299	0.2794382697140597	1.6635478741689305	5493.663896084606	790.0930937389799	4703.570802345626	2.2039037125284477	1.2039905681532983	1.0897331678232887
347	1.9385228664743088	0.2770896802724756	1.6614331862018332	5481.044276518364	783.4526135365986	4697.591662981766	2.2017693696685376	1.195503947703128	1.0903340121759393
348	1.934700090888071	0.2750262402416872	1.6596738506463837	5470.235633190122	777.6183742989354	4692.617258891187	2.2001947914637277	1.188570633666209	1.0918976595761327
349	1.9302376617249137	0.2727142671994477	1.657523394525466	5457.618411981596	771.0814245266179	4686.536987454978	2.198065346565607	1.180355028645099	1.0924840089220318
350	1.9267907841740513	0.2707317813905218	1.6560590027835294	5447.872595309144	765.476077958767	4682.3965173503775	2.198558952455632	1.1739902088416407	1.0943035015190592
351	1.9237267123169017	0.2688126726853856	1.654914039631516	5439.209136236302	760.0499259302205	4679.159210306081	2.2011173393034094	1.1680702902594327	1.0963877484728628
352	1.9192693915205499	0.26655302403304093	1.652716367487509	5426.60635859464	753.6609198849105	4672.94543870973	2.198983796974392	1.160230203631773	1.0969531101588195
353	1.9162102428188426	0.26466449533024333	1.6515457474885993	5417.95681941587	748.3212307759883	4669.6355886398815	2.201534631567409	1.1545227968079044	1.099028447429682
354	1.913153935926792	0.2627901115997427	1.6503638243270493	5409.315315264606	743.0215356340142	4666.293779630592	2.2040833605565853	1.1489101705426634	1.1011013841819086
355	1.9100972793150839	0.2609300610725324	1.6491672182425514	5400.6728223043065	737.7623666695835	4662.910455634723	2.206593462774518	1.1433903813561273	1.1031719259646906
356	1.9070435452150452	0.25908397387940535	1.6479595713356399	5392.038592551078	732.5426781021507	4659.495914448928	2.2091017154363635	1.1379614644382432	1.105239964346543
357	1.9039928161281732	0.25725177029963564	1.6467410458285374	5383.412859272409	727.3622445266737	4656.050614745735	2.2116081341609335	1.132621544189322	1.1073054785662788
358	1.9009451734912775	0.2554333702172527	1.6455118032740248	5374.795852725455	722.2208394205826	4652.575013304872	2.2141127340755187	1.1273687915939805	1.109368449019005
359	1.8992991833026829	0.25396944318879017	1.6453297401138927	5370.141925109522	718.0816832623741	4652.060241847148	2.2213276357067797	1.1241129463838642	1.1129744038214475
360	1.8962582193147517	0.25217642683814145	1.6440817924766102	5361.543801997638	713.0120489669061	4648.531753030732	2.2238317578458466	1.119014867299777	1.1150363482302361
361	1.8946204970906588	0.25073439443632894	1.6438861026543299	5356.91325150059	708.9347984071109	4647.978453093479	2.2310641895763506	1.1158854812625112	1.118652389474602
362	1.8915864226811625	0.24896646757857277	1.6426199551025897	5348.334608212804	703.936102981541	4644.398505231263	2.2335678122127263	1.1109362159469576	1.1207132198627927
363	1.8899570763773066	0.24754605532409057	1.6424110210532161	5343.7277400722905	699.9199819481659	4643.807758124125	2.2408176959716473	1.1079283851251076	1.1243392662437874
364	1.8883325168992235	0.24613567743474865	1.6421968394644748	5339.134406362792	695.932232413818	4643.202173948974	2.2480837146016333	1.104974490261404	1.1279738176058671
365	1.8867127457763446	0.2447352681877066	1.641977477588638	5334.554611408672	691.9726685515442	4642.581942857128	2.255365845523828	1.1020735561233663	1.1316168635906845
366	1.8850977641998663	0.24334476191456517	1.641753002285301	5329.98835857796	688.0411046883197	4641.94725388964	2.2626640653489076	1.0992246291636172	1.135268394293706
367	1.8834875730240763	0.24196409301376193	1.6415234800103145	5325.4356502860965	684.1373553400966	4641.298294946	2.2699783498745214	1.0964267769658886	1.1389284002525673
368	1.8818821727678494	0.24059319596259007	1.6412889768052594	5320.896488000166	680.2612352457862	4640.6352527543795	2.2773086740827138	1.09367908770702	1.1425968724356523
369	1.881687602643864	0.2395587558584247	1.6421288467854394	5320.346353935258	677.3364247571441	4643.009929178113	2.289480881634384	1.0927875970491139	1.1478868950322152
370	1.88009012436711	0.23820594367719647	1.6418841806899136	5315.82959051859	673.511438427934	4642.3181520906555	2.2968348393731555	1.0901282702307806	1.1515790581275056
371	1.8799088957503782	0.23718729948346726	1.642721596266911	5315.31717867674	670.6312898238566	4644.685888852883	2.3090962343415327	1.0893083624733475	1.1569103309336455
372	1.880170462940676	0.23622988894897756	1.6439405739916984	5316.056742483853	667.9242753123965	4648.1324671714565	2.323690388456788	1.0888931962167414	1.162595569084796
373	1.8809853198980615	0.23549597096489525	1.6454893489331663	5318.360696251797	665.8491710999791	4652.511525151818	2.3387514146616812	1.0895471903205112	1.1693045585878992
374	1.8808284222671987	0.23449870359882716	1.6463297186683716	5317.917078651762	663.0294640521652	4654.887614599596	2.351214910653327	1.088816052509042	1.174723668219524
375	1.880678863028853	0.23350868303184316	1.6471701799970098	5317.494209867744	660.2302468460394	4657.2639630217045	2.3637369137775637	1.0881155666984788	1.1801687746196121
376	1.8805365769066558	0.2325258475265458	1.64801072938011	5317.091905335162	657.4513449232229	4659.640560411939	2.3763175008394524	1.0874452837474735	1.1856399369691073
377	1.8804014985925497	0.2315501357150967	1.648851362877453	5316.709980399833	654.6925847702406	4662.017395629592	2.3889567451253426	1.0868047642471013	1.191137214150841
378	1.8793026750767856	0.23031859220705056	1.648984082869735	5313.603130103588	651.210477536532	4662.392652567056	2.3989624911274463	1.08482214802039	1.195313647380231
379	1.878725561041953	0.22930060005177555	1.6494249609901774	5311.971378612686	648.3321725277505	4663.639206084936	2.4092886771756055	1.0838609615580312	1.2004936324287874
380	1.878609974835688	0.2283466454883896	1.6502633293472984	5311.644566313873	645.6349295443779	4666.009636769495	2.422076514120396	1.0833123665545412	1.20605907245472
381	1.8751808102568532	0.22670794179221532	1.648472868464638	5301.9488318899375	641.0016040003975	4660.94722788954	2.422159030604987	1.0789329209052885	1.2078141717793471
382	1.8731795062263048	0.22539579718315936	1.6477837090431455	5296.290278053963	637.2916025225655	4658.998675531398	2.4273748657759824	1.0763344526591374	1.211295533181684
383	1.8697510408100562	0.22377975130963162	1.6459712895004246	5286.596520465668	632.7223404628406	4653.874180002827	2.4274402932410486	1.0720607369564519	1.2130414084646344
384	1.8663236909733738	0.22217601551430358	1.6441476754590703	5276.9059171042845	628.1878843292292	4648.718032775056	2.4275014633491714	1.0678441627775463	1.214781496569972
385	1.8628975608333713	0.22058451152109326	1.642313049312278	5267.218762354018	623.6880128013237	4643.530749552694	2.427558430495361	1.0636836981807318	1.2165157972448473
386	1.8594727529505737	0.21900516101574521	1.6404675919348284	5257.535346197919	619.2225044507834	4638.312841747136	2.4276112452320415	1.059578334041043	1.2182443110825298
387	1.8560493687320871	0.21743788566161795	1.6386114830704692	5247.855955357828	614.7911377859728	4633.064817571855	2.4276599573616378	1.055527083478932	1.2199670395894426
388	1.852627508861337	0.21588260711919946	1.6367449017421376	5238.180874509422	610.3936913071398	4627.787183202283	2.4277046189417244	1.0515289813118902	1.2216839852705137
389	1.8477878136414148	0.21404006269691264	1.6337477509445022	5224.496958655753	605.1840196882675	4619.312938967485	2.4226529550571594	1.045937572904252	1.221646866212678
390	1.8443704447142835	0.2125106210267459	1.6318598236875377	5214.834575651279	600.8596252446865	4613.974950406592	2.4226961773819453	1.0420532504329756	1.2233499948737767
391	1.8414306254172768	0.2110482423987706	1.6303823830185062	5206.522432415557	596.724847085714	4609.797585329843	2.4251645456360906	1.0386050303624297	1.2254265286591766
392	1.838018291382505	0.20954196388628815	1.6284763274962168	5196.874285233847	592.4659449275465	4604.4083403063005	2.4251983261798866	1.0348200710790152	1.227118999471623
393	1.835086448089181	0.20810223330990665	1.6269842147792744	5188.584693617243	588.3952026258287	4600.1894909914145	2.42765936491092	1.0314696009986006	1.2291875682010558
394	1.8321594337631164	0.20667365561467255	1.6254857781484437	5180.308755583897	584.3559943526419	4595.952761231256	2.4301186253989835	1.028166881948772	1.2312530813030191
395	1.8292372971760198	0.20525615034979353	1.6239811468262262	5172.04660903257	580.34809263873	4591.69851639384	2.432576110419909	1.024911064333087	1.2333155459021037
396	1.8263200860932383	0.20384963729976585	1.6224704487934725	5163.798389016596	576.3712706800994	4587.427118336496	2.4350318225175553	1.0217013169796145	1.2353749695708176
397	1.823407847750714	0.20245403650368618	1.6209538112470279	5155.564229092457	572.4253023926223	4583.138926699835	2.437485766891759	1.0185368267052017	1.2374313604531864
398	1.8204885606886794	0.2010690202946899	1.6194195403939895	5147.31013938343	568.5092613200653	4578.800878063365	2.4398645574274735	1.0154160457691623	1.2394811229173606
399	1.8180616445048658	0.19974917615761226	1.6183124683472536	5140.448195534878	564.7774899396313	4575.670705595247	2.444700811520259	1.012727454525123	1.2419215677198112
400	1.8151536066846272	0.19838541618933145	1.6167681904952957	5132.225912307697	560.9215494717815	4571.3043628359155	2.4470808505317323	1.0096935294831284	1.2439668134288213
401	1.812741097598098	0.1970865821266649	1.615654515471433	5125.404703567035	557.2491826772267	4568.155520889808	2.451931116380804	1.007091425508482	1.2464074465371886
402	1.8112570494999598	0.19602031468910758	1.6152367348108523	5121.208656424618	554.2343825234938	4566.974273901124	2.45943500957443	1.0056721281656922	1.250247907180103
403	1.8088590974472265	0.19474074866790272	1.6141183487793238	5114.428606727343	550.6164948326935	4563.81211189465	2.4643105880584346	1.0031462030689768	1.252694465647779
404	1.8064692005863434	0.1934714183057991	1.6129977822805444	5107.671332548454	547.0275477861866	4560.643784762267	2.469197795164657	1.0006614513994352	1.2551425979381752
