lambda	n1-Au	k1-Au
300	1.53	1.89
301	1.53	1.89
302	1.529	1.889
303	1.529	1.889
304	1.529	1.889
305	1.529	1.889
306	1.529	1.889
307	1.529	1.889
308	1.529	1.889
309	1.53	1.89
310	1.53	1.89
311	1.532	1.891
312	1.534	1.892
313	1.536	1.894
314	1.537	1.895
315	1.538	1.896
316	1.539	1.897
317	1.54	1.898
318	1.54	1.898
319	1.54	1.899
320	1.54	1.9
321	1.535	1.9
322	1.531	1.899
323	1.526	1.899
324	1.521	1.898
325	1.516	1.897
326	1.511	1.896
327	1.506	1.895
328	1.501	1.893
329	1.495	1.892
330	1.49	1.89
331	1.488	1.888
332	1.486	1.886
333	1.484	1.883
334	1.482	1.881
335	1.481	1.879
336	1.48	1.877
337	1.48	1.875
338	1.48	1.874
339	1.48	1.872
340	1.48	1.87
341	1.481	1.869
342	1.482	1.869
343	1.482	1.868
344	1.483	1.868
345	1.484	1.868
346	1.485	1.868
347	1.486	1.868
348	1.488	1.869
349	1.489	1.869
350	1.49	1.87
351	1.49	1.871
352	1.491	1.871
353	1.491	1.872
354	1.491	1.873
355	1.491	1.874
356	1.491	1.875
357	1.491	1.876
358	1.491	1.877
359	1.49	1.879
360	1.49	1.88
361	1.489	1.882
362	1.489	1.883
363	1.488	1.885
364	1.487	1.887
365	1.486	1.889
366	1.485	1.891
367	1.484	1.893
368	1.483	1.895
369	1.481	1.898
370	1.48	1.9
371	1.478	1.903
372	1.475	1.906
373	1.473	1.91
374	1.471	1.913
375	1.469	1.916
376	1.467	1.919
377	1.465	1.922
378	1.463	1.924
379	1.462	1.927
380	1.46	1.93
381	1.461	1.931
382	1.461	1.933
383	1.462	1.934
384	1.463	1.935
385	1.464	1.936
386	1.465	1.937
387	1.466	1.938
388	1.467	1.939
389	1.469	1.939
390	1.47	1.94
391	1.47	1.941
392	1.471	1.942
393	1.471	1.943
394	1.471	1.944
395	1.471	1.945
396	1.471	1.946
397	1.471	1.947
398	1.471	1.948
399	1.47	1.949
400	1.47	1.95
401	1.469	1.951
402	1.468	1.953
403	1.467	1.954
404	1.466	1.955
405	1.465	1.956
406	1.464	1.957
407	1.463	1.958
408	1.462	1.959
409	1.461	1.959
410	1.46	1.96
411	1.46	1.959
412	1.46	1.958
413	1.46	1.958
414	1.46	1.957
415	1.46	1.956
416	1.46	1.955
417	1.46	1.954
418	1.46	1.952
419	1.46	1.951
420	1.46	1.95
421	1.46	1.95
422	1.459	1.95
423	1.459	1.951
424	1.458	1.951
425	1.457	1.951
426	1.456	1.951
427	1.455	1.951
428	1.453	1.95
