lambda	n1-Si	k1-Si
300	1.4875	0
301	1.487272727	0
302	1.487045455	0
303	1.486818182	0
304	1.486590909	0
305	1.486363636	0
306	1.486136364	0
307	1.485909091	0
308	1.485681818	0
309	1.485454545	0
310	1.485227273	0
311	1.485	0
312	1.484733333	0
313	1.484466667	0
314	1.4842	0
315	1.483933333	0
316	1.483666667	0
317	1.4834	0
318	1.483133333	0
319	1.482866667	0
320	1.4826	0
321	1.482408333	0
322	1.482216667	0
323	1.482025	0
324	1.481833333	0
325	1.481641667	0
326	1.48145	0
327	1.481258333	0
328	1.481066667	0
329	1.480875	0
330	1.480683333	0
331	1.480491667	0
332	1.4803	0
333	1.480109091	0
334	1.479918182	0
335	1.479727273	0
336	1.479536364	0
337	1.479345455	0
338	1.479154545	0
339	1.478963636	0
340	1.478772727	0
341	1.478581818	0
342	1.478390909	0
343	1.4782	0
344	1.478018182	0
345	1.477836364	0
346	1.477654545	0
347	1.477472727	0
348	1.477290909	0
349	1.477109091	0
350	1.476927273	0
351	1.476745455	0
352	1.476563636	0
353	1.476381818	0
354	1.4762	0
355	1.47605	0
356	1.4759	0
357	1.47575	0
358	1.4756	0
359	1.47545	0
360	1.4753	0
361	1.47515	0
362	1.475	0
363	1.47485	0
364	1.4747	0
365	1.47455	0
366	1.4744	0
367	1.47425	0
368	1.4741	0
369	1.473971429	0
370	1.473842857	0
371	1.473714286	0
372	1.473585714	0
373	1.473457143	0
374	1.473328571	0
375	1.4732	0
376	1.473071429	0
377	1.472942857	0
378	1.472814286	0
379	1.472685714	0
380	1.472557143	0
381	1.472428571	0
382	1.4723	0
383	1.472173333	0
384	1.472046667	0
385	1.47192	0
386	1.471793333	0
387	1.471666667	0
388	1.47154	0
389	1.471413333	0
390	1.471286667	0
391	1.47116	0
392	1.471033333	0
393	1.470906667	0
394	1.47078	0
395	1.470653333	0
396	1.470526667	0
397	1.4704	0
398	1.47035	0
399	1.4703	0
400	1.47025	0
401	1.4702	0
402	1.47015	0
403	1.4701	0
404	1.47005	0
405	1.47	0
406	1.46995	0
407	1.4699	0
408	1.46985	0
409	1.4698	0
410	1.46975	0
411	1.4697	0
412	1.46965	0
413	1.4696	0
414	1.46955	0
415	1.4695	0
416	1.46945	0
417	1.4694	0
418	1.46935	0
419	1.4693	0
420	1.46925	0
421	1.4692	0
422	1.46915	0
423	1.4691	0
424	1.46905	0
425	1.469	0
426	1.46895	0
427	1.4689	0
428	1.46885	0
429	1.4688	0
430	1.46875	0
431	1.4687	0
432	1.46854	0
433	1.46838	0
434	1.46822	0
435	1.46806	0
436	1.4679	0
437	1.46774	0
438	1.46758	0
439	1.46742	0
440	1.46726	0
441	1.4671	0
442	1.46694	0
443	1.46678	0
