#Refrac	Qext	Qsca	Qabs	Qnf
(1+0j)	1.4733908167526995e-24	5.377442888646344e-45	1.4733908167526995e-24	7.741487460135321e-38
(1.1+0j)	0.0010903702337632913	0.0010903702337632954	-4.119968255444917e-18	0.009343613360333167
(1.2+0j)	0.004290727662027606	0.004290727662027639	-3.2959746043559335e-17	0.03667740192791374
(1.3+0j)	0.009429016828574454	0.009429016828574475	-2.0816681711721685e-17	0.0804156608546081
(1.4+0j)	0.01627293467290056	0.016272934672900585	-2.42861286636753e-17	0.13849088466910195
(1.5+0j)	0.024560034936265487	0.024560034936265546	-5.898059818321144e-17	0.20860856202830966
(1.6+0j)	0.03402129938471069	0.03402129938471078	-9.020562075079397e-17	0.2884427143897389
(1.7+0j)	0.04439803243585722	0.04439803243585729	-6.938893903907228e-17	0.3757732205886566
(1.8+0j)	0.055452815030633554	0.05545281503063359	-3.469446951953614e-17	0.46857259500687565
(1.9+0j)	0.06697565344266199	0.06697565344266201	-2.7755575615628914e-17	0.5650526005687564
(2+0j)	0.0787865339291407	0.07878653392914076	-5.551115123125783e-17	0.6636812474896847
(2.1+0j)	0.09073548365964611	0.09073548365964623	-1.249000902703301e-16	0.7631795081656056
(2.2+0j)	0.1027010450563232	0.10270104505632327	-6.938893903907228e-17	0.8625052891779279
(2.3+0j)	0.1145878601888457	0.11458786018884586	-1.5265566588595902e-16	0.9608303501729454
(2.4+0j)	0.1263238701165001	0.12632387011650015	-5.551115123125783e-17	1.0575142122700234
(2.5+0j)	0.13785747666070752	0.13785747666070775	-2.220446049250313e-16	1.1520777610334885
(2.6+0j)	0.14915489446622218	0.14915489446622243	-2.498001805406602e-16	1.2441782324023283
(2.7+0j)	0.16019783659760384	0.16019783659760398	-1.3877787807814457e-16	1.3335865389899
(2.8+0j)	0.1709816221875833	0.17098162218758323	8.326672684688674e-17	1.4201673962106378
(2.9+0j)	0.18151376458342278	0.18151376458342294	-1.6653345369377348e-16	1.503862389289778
(3+0j)	0.19181308897014007	0.1918130889701404	-3.3306690738754696e-16	1.5846759370105528
(3.1+0j)	0.20190943742013603	0.20190943742013612	-8.326672684688674e-17	1.6626640198165745
(3.2+0j)	0.2118440470367207	0.21184404703672094	-2.498001805406602e-16	1.73792552303548
(3.3+0j)	0.22167073689925026	0.22167073689925038	-1.1102230246251565e-16	1.8105960853073801
(3.4+0j)	0.23145812011837041	0.23145812011837036	5.551115123125783e-17	1.8808444329523253
(3.5+0j)	0.24129318397901328	0.2412931839790136	-3.0531133177191805e-16	1.9488713298392772
(3.6+0j)	0.25128678155297085	0.251286781552971	-1.6653345369377348e-16	2.014911501681982
(3.7+0j)	0.2615819013883765	0.2615819013883767	-2.220446049250313e-16	2.079239249987421
(3.8+0j)	0.2723661163146453	0.2723661163146457	-3.885780586188048e-16	2.1421790421182116
(3.9+0j)	0.283890521189975	0.2838905211899753	-3.3306690738754696e-16	2.204123315377986
